CATEGORIA,PERFIL,DIA,MES,ANO,IPD,PD,FAMA,ENGAJ,VALENCIA,MOD,RANKING,META,INTERESSE
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  31.52450 ,  4.00000 ,  1.95307 ,  1.61079 ,  3.49287 ,  1.80953 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.34060 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  31.01517 ,  4.00000 ,  2.66746 ,  1.04880 ,  3.93520 ,  1.51569 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.22940 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  30.56111 ,  4.00000 ,  3.00316 ,  1.41298 ,  1.47191 ,  1.67650 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.36866 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  29.48861 ,  4.00000 ,  1.87988 ,  1.33323 ,  3.66255 ,  2.00498 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.07942 
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  19.92917 ,  4.00000 ,  1.00000 ,  1.20954 ,  1.00000 ,  2.29770 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.20291 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  19.14042 ,  4.00000 ,  1.67076 ,  1.05950 ,  2.46414 ,  1.15398 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  12.80486 ,  4.00000 ,  1.20013 ,  1.00054 ,  1.00000 ,  1.00356 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.13767 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  11.77784 ,  4.00000 ,  1.09909 ,  1.00000 ,  1.00000 ,  1.00000 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.05365 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  80.88607 ,  4.00000 ,  3.52869 ,  4.00000 ,  4.00000 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  45.58591 ,  4.00000 ,  4.00000 ,  2.47777 ,  3.46516 ,  1.53741 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.29537 
