PERFIL;IPD;PD;FAMA;ENGAJ;VALENCIA;MOD;RANKING;INTERESSE
Fernando Haddad;2397093;400000;156672;123522;378205;134791;9;103858
Joao Doria;1950266;400000;149250;127042;192397;113592;10;126448
Sergio Moro;1794514;400000;106230;126271;100000;178908;11;120000
Flavio Dino;1666438;400000;133558;102560;249604;103893;12;100000
Alexandre Kalil;1271218;400000;131899;100000;100000;100000;13;101324
Luiza Trajano;1121070;400000;100000;100627;100000;100067;14;103885
Jair Bolsonaro;7483964;400000;282226;400000;400000;400000;1;358789
Arthur Lira;5492230;400000;400000;127168;384837;156159;2;400000
Rodrigo Pacheco;4114083;400000;312190;110781;386861;110658;3;294506
Lula;3686478;400000;155719;176444;277490;196003;4;267653
Luciano Huck;3308144;400000;314740;160771;379673;101247;5;109379
Ciro Gomes;2501485;400000;142900;148401;347162;134072;6;123960
Rodrigo Maia;2444144;400000;123973;158162;152033;135153;7;204029
Guilherme Boulos;2420808;400000;149307;128494;360961;150392;8;103107
Fernando Haddad;2365310;400000;144206;123928;377673;142352;9;102851
Joao Doria;1808117;400000;134709;124910;185889;111137;10;122006
Sergio Moro;1790424;400000;105249;125047;100000;178280;11;122012
Flavio Dino;1620535;400000;125404;102478;249162;103638;12;100000
Alexandre Kalil;1221476;400000;123248;100000;100000;100000;13;100603
Luiza Trajano;1117598;400000;100000;100571;100000;100054;14;103337
Jair Bolsonaro;7465555;400000;276503;400000;398500;400000;1;361534
Arthur Lira;5728644;400000;400000;139434;382681;189670;2;400000
Lula;4271302;400000;151658;193931;316985;259123;3;283405
Rodrigo Pacheco;4098562;400000;306035;110314;384003;110836;4;299064
Luciano Huck;3259427;400000;308134;146263;400000;106488;5;108239
Ciro Gomes;2487056;400000;136861;149611;352069;135808;6;122157
Fernando Haddad;2343953;400000;140088;125075;372301;144518;7;102077
Guilherme Boulos;2326030;400000;142969;127556;361301;139473;8;102945
Rodrigo Maia;2256963;400000;120089;149136;129975;125275;9;201982
Sergio Moro;1837522;400000;103185;127388;100000;187820;10;121268
Joao Doria;1798727;400000;127799;124853;195963;112718;11;121142
Flavio Dino;1605925;400000;123455;102341;248338;103333;12;100000
Alexandre Kalil;1211709;400000;121865;100000;100000;100000;13;100164
Luiza Trajano;1117340;400000;100000;100608;100000;100055;14;103252
Jair Bolsonaro;7422713;400000;274398;400000;399270;400000;1;355559
Arthur Lira;5785838;400000;400000;141529;383566;198094;2;400000
Rodrigo Pacheco;4326104;400000;316725;113680;387045;126007;3;310976
Lula;4311809;400000;150981;191014;317665;252328;4;300117
Luciano Huck;3314805;400000;308589;144662;400000;111030;5;115165
Ciro Gomes;2486016;400000;134908;153232;341205;137317;6;123388
Fernando Haddad;2406738;400000;140001;126807;379144;148390;7;105118
Guilherme Boulos;2383437;400000;140885;130869;358264;149703;8;103733
Rodrigo Maia;1971141;400000;117857;117568;117735;108383;9;205982
Sergio Moro;1914774;400000;103428;127999;100000;190915;10;131348
Joao Doria;1744410;400000;124282;118725;197758;109893;11;122827
Flavio Dino;1602950;400000;122751;102148;247700;103446;12;100500
Alexandre Kalil;1207366;400000;121218;100000;100000;100000;13;100000
Luiza Trajano;1119459;400000;100000;100572;100000;100058;14;103663
Jair Bolsonaro;7391921;400000;298160;400000;386697;400000;1;333118
Arthur Lira;5700932;400000;400000;138351;382776;185419;2;400000
Lula;4213203;400000;162495;195706;316847;234647;3;283407
Rodrigo Pacheco;4153518;400000;287679;110409;393343;120174;4;313511
Luciano Huck;3126640;400000;307255;118322;400000;104337;5;115857
Ciro Gomes;2453383;400000;147920;159087;294679;133035;6;123172
Fernando Haddad;2424125;400000;151245;120607;365107;148575;7;109793
Guilherme Boulos;2376554;400000;152516;126049;353134;143830;8;104024
Rodrigo Maia;1963408;400000;118634;115165;117669;107153;9;207471
Sergio Moro;1902342;400000;100000;123320;100000;176831;10;149944
Flavio Dino;1709403;400000;136937;103176;247865;105710;11;102932
Joao Doria;1699759;400000;121791;116204;193513;108650;12;122737
Alexandre Kalil;1264794;400000;132092;100000;100000;100000;13;100000
Luiza Trajano;1233775;400000;121698;100601;100000;100049;14;103592
Jair Bolsonaro;7504816;400000;324092;400000;382287;400000;1;330721
Arthur Lira;5735959;400000;400000;137204;382899;193495;2;400000
Luciano Huck;4417366;400000;321652;235856;400000;209095;3;116947
Lula;3822460;400000;180006;152758;171414;222841;4;314077
Rodrigo Pacheco;3682023;400000;283979;109705;393091;119111;5;234867
Guilherme Boulos;2550865;400000;170474;147443;361351;132451;6;103216
Fernando Haddad;2496867;400000;166936;118375;375920;141972;7;111652
Rodrigo Maia;1967979;400000;138484;115203;117654;107288;8;189471
Ciro Gomes;1963674;400000;164314;112941;171016;127725;9;125318
Flavio Dino;1859948;400000;152547;103490;248558;105955;10;114214
Joao Doria;1775496;400000;123841;117361;210394;108787;11;125770
Sergio Moro;1374653;400000;100000;100000;100000;100000;12;149717
Luiza Trajano;1346948;400000;143504;100748;100000;100050;13;103087
Alexandre Kalil;1342328;400000;146772;100000;100000;100000;14;100000
Jair Bolsonaro;7843570;400000;316630;400000;377665;400000;1;400000
Arthur Lira;5823952;400000;400000;151942;387350;216854;2;377481
Luciano Huck;4455474;400000;327890;244916;400000;186070;3;129590
Lula;4179844;400000;177963;158160;249568;200731;4;360814
Rodrigo Pacheco;3751849;400000;258517;110578;394269;122862;5;266420
Ciro Gomes;2733392;400000;162478;157605;336807;132486;6;143322
Fernando Haddad;2626042;400000;166202;136318;373975;133697;7;125414
Guilherme Boulos;2504294;400000;170019;150395;335339;131164;8;104638
Rodrigo Maia;1994021;400000;132305;132380;121664;108661;9;179449
Joao Doria;1971004;400000;117643;116108;210427;107009;10;169272
Flavio Dino;1853837;400000;149559;104436;243328;105867;11;117287
Sergio Moro;1775765;400000;100000;115402;100000;146693;12;162914
Luiza Trajano;1435235;400000;146602;104606;100000;100447;13;111595
Alexandre Kalil;1331096;400000;144646;100000;100000;100000;14;100000
Jair Bolsonaro;7762853;400000;303124;400000;373758;400000;1;400000
Arthur Lira;5561417;400000;400000;162204;383313;248818;2;292935
Luciano Huck;4595348;400000;344062;247779;400000;183118;3;139054
Lula;4254549;400000;178245;189504;249137;183656;4;357635
Rodrigo Pacheco;3612881;400000;249184;112115;393860;126808;5;245476
Ciro Gomes;2722236;400000;161521;148297;334345;136879;6;148774
Fernando Haddad;2688732;400000;165852;136954;374973;129429;7;139710
Guilherme Boulos;2493614;400000;170745;146341;338205;129141;8;106801
Joao Doria;2152215;400000;114447;115712;218792;106927;9;201429
Rodrigo Maia;2039346;400000;126067;142908;122465;108489;10;182467
Flavio Dino;1864393;400000;147126;105335;245725;107375;11;118139
Sergio Moro;1761612;400000;100000;114657;100000;147144;12;160743
Luiza Trajano;1675661;400000;152849;105565;100000;103090;13;145131
Alexandre Kalil;1301375;400000;139018;100000;100000;100000;14;100000
Jair Bolsonaro;7667229;400000;287206;400000;368947;400000;1;400000
Arthur Lira;4952072;400000;400000;155989;386373;205233;2;229181
Luciano Huck;4667796;400000;346550;253212;400000;185488;3;141917
Lula;4642199;400000;167296;227071;242344;199941;4;386725
Rodrigo Pacheco;3069423;400000;191528;113180;395994;127972;5;199892
Ciro Gomes;2872424;400000;151972;161994;334988;141457;6;166082
Fernando Haddad;2590419;400000;151307;127077;378555;127669;7;146019
Guilherme Boulos;2488140;400000;163966;151717;331500;130199;8;108624
Joao Doria;2228422;400000;110606;119677;222852;108026;9;211828
Rodrigo Maia;1957305;400000;116713;146109;122445;105310;10;176299
Luiza Trajano;1928292;400000;160853;109379;100000;103510;11;178302
Sergio Moro;1910003;400000;100000;118509;100000;150663;12;180026
Flavio Dino;1846230;400000;138584;106242;245361;108153;13;121458
Alexandre Kalil;1248559;400000;129018;100000;100000;100000;14;100000
Jair Bolsonaro;7550202;400000;275610;400000;370429;400000;1;389438
Lula;5137824;400000;161834;241041;381146;207081;2;400000
Arthur Lira;4864452;400000;400000;155309;385720;218609;3;202383
Luciano Huck;4738253;400000;341116;259371;400000;197949;4;141947
Ciro Gomes;2882309;400000;145830;162091;320076;147691;5;174218
Rodrigo Pacheco;2714129;400000;178468;107648;390400;115575;6;168245
Fernando Haddad;2572952;400000;143958;124836;372921;133710;7;149010
Guilherme Boulos;2434601;400000;157280;143097;348965;123730;8;112585
Joao Doria;2204170;400000;112158;118326;228809;108504;9;204446
Luiza Trajano;2019488;400000;160014;109826;100000;102916;10;195406
Rodrigo Maia;1896681;400000;111437;146809;122394;105754;11;169373
Sergio Moro;1872867;400000;100000;117486;100000;145031;12;179585
Flavio Dino;1834039;400000;132703;107105;244562;110635;13;122021
Alexandre Kalil;1220679;400000;123739;100000;100000;100000;14;100000
Jair Bolsonaro;7540103;400000;275557;400000;393834;400000;1;377685
Lula;5191748;400000;156279;269378;370059;196848;2;400000
Arthur Lira;4704008;400000;400000;144672;385230;218876;3;184632
Luciano Huck;4669267;400000;328839;273198;400000;192018;4;132520
Ciro Gomes;2770778;400000;140229;157010;313399;144564;5;170509
Rodrigo Pacheco;2570657;400000;176517;101460;389140;113132;6;153611
Fernando Haddad;2482728;400000;138266;122754;380135;130331;7;140417
Guilherme Boulos;2374709;400000;152430;137301;371690;115765;8;109925
Joao Doria;2101602;400000;110370;113374;222183;103789;9;200042
Luiza Trajano;2048904;400000;161744;110799;100000;100000;10;200678
Alexandre Kalil;2026588;400000;122455;142335;100000;211525;11;100000
Rodrigo Maia;1975704;400000;105940;158953;122356;121954;12;161503
Sergio Moro;1842558;400000;100000;109221;100000;167258;13;162382
Flavio Dino;1722694;400000;128784;100000;244394;105168;14;118175
Jair Bolsonaro;7755189;400000;292437;400000;394065;400000;1;400000
